Wafer,Session,Die,DieCol,DieRow,Device,TestSite,Band,Bias_V,Feature,Centre_nm,FWHM_nm,Q_factor,PeakAmp_dB,LeftEdge_nm,RightEdge_nm
D23,20190603_204847,"(-1,-4)",-1,-4,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1314.6088,5.000371725327341,262.90221451764995,1.7771593263023533,1312.0037782717736,1317.004149997101
D23,20190603_204847,"(-4,0)",-4,0,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1309.1396,4.6475878860312605,281.6815156814432,2.104152749379864,1306.3376753618552,1310.9852632478865
D23,20190603_204847,"(0,0)",0,0,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1310.4816,5.004142104653738,261.87937364554097,1.9973214056517463,1307.5792434537632,1312.583385558417
D23,20190603_204847,"(2,0)",2,0,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1309.0813,4.724855704570473,277.06270452528156,2.1034973111563886,1306.7091256791346,1311.433981383705
D23,20190603_204847,"(-1,2)",-1,2,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1310.4304,4.983744128651551,262.9409468408167,1.9802053776511457,1307.758745889735,1312.7424900183867
D23,20190603_204847,"(-3,2)",-3,2,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1313.9384,4.995746948408623,263.0114002108434,1.8813680123712402,1311.7347949280233,1316.730541876432
D23,20190603_204847,"(2,2)",2,2,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1306.4544,4.8894820001276,267.1968932426596,1.7950050651998026,1304.2511712672665,1309.140653267394
D23,20190603_204847,"(0,3)",0,3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1305.7207,4.734138790611723,275.80955222296745,1.7050171636801679,1303.5727239449664,1308.306862735578
D24,20190531_151815,"(-1,-1)",-1,-1,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1307.7686,4.694897446517189,278.55104715229527,1.889789278851822,1305.3162385305254,1310.0111359770426
D24,20190531_151815,"(-3,-1)",-3,-1,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1312.4281,4.7966379881654575,273.6141654296402,1.7991185010760091,1309.8916774382953,1314.6883154264608
D24,20190531_151815,"(3,-1)",3,-1,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1310.588,4.677315055696226,280.20092390481847,1.8793704193667509,1308.2443093050706,1312.9216243607668
D24,20190531_151815,"(-3,-3)",-3,-3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1311.8747,4.499400715614229,291.56654028333446,1.9098309359978884,1308.996846818117,1313.4962475337313
D24,20190531_151815,"(0,-3)",0,-3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1309.1596,4.939801489058027,265.0227145564192,1.8339481142756995,1306.2980199790989,1311.2378214681569
D24,20190531_151815,"(2,-3)",2,-3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1314.5921,4.815511394351915,272.9911721404869,2.172237508195394,1312.3629886130564,1317.1785000074083
D24,20190531_151815,"(-1,-4)",-1,-4,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1313.9638,4.8663178479639555,270.0119147683204,1.897066160774557,1311.7750492496039,1316.6413670975678
D24,20190531_151815,"(-4,0)",-4,0,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1307.7889,5.030124183593443,259.99137442084697,1.707520257550641,1304.9450151632684,1309.9751393468619
D24,20190531_151815,"(0,0)",0,0,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1308.4729,4.934189156315597,265.1849895793311,1.9164242709666723,1306.2090547758785,1311.143243932194
D24,20190531_151815,"(2,0)",2,0,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1305.7972,4.697890385880555,277.9539522515373,1.752107242878992,1303.5082537445785,1308.206144130459
D24,20190531_151815,"(-1,2)",-1,2,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1309.1511,4.998095862426908,261.9299701395323,2.0257741181158053,1306.3578418646,1311.355937727027
D24,20190531_151815,"(-3,2)",-3,2,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1312.4856,4.788310784136229,274.10200782043876,1.8137290895101614,1309.9189346401374,1314.7072454242737
D24,20190531_151815,"(2,2)",2,2,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1313.2504,4.931623581380563,266.2916944752639,1.5684119210927747,1310.8169503657916,1315.7485739471722
D24,20190531_151815,"(0,3)",0,3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1313.1224,4.837923863567312,271.4227087963618,1.72181711246958,1310.5146334729013,1315.3525573364686
D24,20190603_225101,"(-1,-1)",-1,-1,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1307.7683,4.663773886752097,280.40988516078,1.9416446042305324,1305.4750833590829,1310.138857245835
D24,20190603_225101,"(-3,-1)",-3,-1,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1312.6072,4.704913714966551,278.9864553359469,1.8675002031377517,1310.1524877673564,1314.857401482323
D24,20190603_225101,"(3,-1)",3,-1,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1311.2276,4.804362727847547,272.9243552739526,1.928529504686594,1308.383391937389,1313.1877546652365
D24,20190603_225101,"(-3,-3)",-3,-3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1311.885,4.47741212131632,293.00072552050835,1.9804838359705172,1309.25675397059,1313.7341660919062
D24,20190603_225101,"(0,-3)",0,-3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1309.1489,4.810378650345001,272.1509043588715,2.011184548449819,1306.5889858893497,1311.3993645396947
D24,20190603_225101,"(2,-3)",2,-3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1305.0638,4.746566917132668,274.94899424874643,1.5135910336102825,1302.8795672360109,1307.6261341531435
D24,20190603_225101,"(-1,-4)",-1,-4,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1314.5688,4.947170851460214,265.72132628328166,1.8152258384798188,1311.9270870241676,1316.8742578756278
D24,20190603_225101,"(-4,0)",-4,0,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1307.8024,4.845551847513434,269.8975144948904,1.850272742958623,1305.2674875940609,1310.1130394415743
D24,20190603_225101,"(0,0)",0,0,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1309.1315,4.986735161676506,262.52276440521433,1.9073687195050297,1306.3217411322294,1311.3084762939059
D24,20190603_225101,"(2,0)",2,0,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1305.8179,4.756631458646325,274.5257671006571,1.803474901127629,1303.6672185009584,1308.4238499596047
D24,20190603_225101,"(-1,2)",-1,2,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1309.1801,4.917285283402407,266.24042018040933,2.0691571202223713,1306.5850465028739,1311.5023317862763
D24,20190603_225101,"(-3,2)",-3,2,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1312.5058,4.629248505673786,283.52459333115127,1.8002468647318892,1310.2110804760855,1314.8403289817593
D24,20190603_225101,"(2,2)",2,2,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1313.2617,4.95687098876283,264.9376396878493,1.6026975542190485,1310.9803837088364,1315.9372546975992
D24,20190603_225101,"(0,3)",0,3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1313.1365,4.740327565183861,277.01387339654616,1.7335924060898833,1310.7734740837122,1315.513801648896
