Wafer,Session,Die,Device,TestSite,DieCol,DieRow,Band,DesignWavelength_nm,FSR_nm,Notch_at_0V_nm,dLambda_dV_pm_per_V,PeakIL_dB,PeakIL_near_1310_dB,I_at_-1V_pA,I_at_-2V_pA,FailedContact,Vpi_V,Vpi_L_V_cm,ER_at_-2V_dB,ER_at_0V_dB,FWHM_nm,Q_factor,Centre_nm,Score_Vpi_V,Score_ER_at_-2V_dB,Score_PeakIL_dB,Score_I_at_-1V_pA,Score_Q_factor,Score_FSR_nm,EfficiencyScore
D08,20190526_082853,"(0,0)",MZMOTE_LULAB_380_500,DCM_LMZO,0,0,O,1310.0,9.863800000000083,1312.432,-169.09714285687073,-6.367280507087708,-6.367280507087708,72038.03,133283.9,False,29.16607529066627,1.1083108610453183,31.0552716255188,31.113885402679443,4.868709320799326,268.5641951171835,1307.561,0.7906493831839163,0.5430016708074018,1.0,0.7591316134364899,0.7980916098671443,0.02788482221113908,0.70628800066983
D08,20190526_082853,"(2,0)",MZMOTE_LULAB_380_500,DCM_LMZO,2,0,O,1310.0,9.852300000000014,1312.7709,-195.00571428580014,-7.0068135261535645,-7.0068135261535645,34444.759999999995,63792.97,False,25.261567426584474,0.9599395622102099,29.52112627029419,31.11001491546631,4.868707396414948,268.7334837504147,1308.3847,1.0,0.4406689358115473,0.9303572967283126,0.889698340051897,0.8006792067879229,0.025423483949406973,0.7547081759352854
D08,20190526_082853,"(-1,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,2,O,1310.0,9.867100000000164,1311.8792,-194.99999999958465,-6.362979412078857,-6.362979412078857,35368.33,65804.3,False,25.30025641031072,0.9614097435918073,32.7756552696228,32.81456995010376,4.993322789871854,261.7464672324021,1306.9846,0.9998952937026101,0.6577571357597578,1.0,0.886490651236846,0.6938818271744437,0.028591119277562277,0.8011294625631581
D08,20190526_082853,"(-3,2)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,2,O,1310.0,9.734699999999975,1314.7933,-183.58285714277272,-7.743221759796143,-7.743221759796143,63460.43,117965.8,False,26.513096460932847,1.0074976655154482,29.389198303222656,32.50660943984985,4.718417908869924,277.72046166928976,1310.4012,0.9342476706348102,0.43186888981401766,0.7932164265900752,0.7889228275079532,0.9380462346038331,0.00025362485566343717,0.711422136069538
D08,20190526_082853,"(2,2)",MZMOTE_LULAB_380_500,DCM_LMZO,2,2,O,1310.0,9.816100000000006,1310.1292,-195.67999999962268,-7.366436004638672,-7.366436004638672,39447.5,73537.76,False,25.082021668077815,0.9531168233869569,32.815579891204834,33.43575572967529,4.767866401789433,273.82581431182865,1305.5649,1.0,0.6604202443799743,0.8633850150948422,0.8723231187447864,0.878516085902579,0.01767561916034729,0.7991204999135848
D08,20190526_082853,"(0,3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,3,O,1310.0,9.776399999999967,1310.5995,-168.81142857129856,-6.863186359405518,-6.863186359405518,53002.57,96441.48000000001,False,28.95657030670422,1.1003496716547603,31.814915657043457,30.798646926879883,4.9030150571841205,266.41286734089425,1306.2263,0.8019892991199966,0.5936725222390865,0.9571048991089739,0.8252444496387814,0.7652083085889707,0.009178651422062678,0.7193084870369093
D08,20190712_113254,"(2,-3)",MZMCTE_LULAB_450_500,DCM_LMZC,2,-3,C,1550.0,14.168371194999963,1551.62027666,-247.99721599961637,-12.608555015951225,-12.608555015951225,1991.348,3803.3509999999997,False,28.565585177822882,1.2854513330020299,35.62714358585367,30.625661236318958,6.745718248195544,229.04911728314607,1545.10081019,0.8231522252228666,0.8479611455785715,0.0,1.0,0.19409893902997008,0.9491896728667402,0.6723578088176946
D08,20190712_113254,"(-1,-4)",MZMCTE_LULAB_450_500,DCM_LMZC,-1,-4,C,1550.0,14.237720280000076,1545.93200715,-246.0254834281174,-9.848788359788362,-9.848788359788362,2718.2839999999997,4770.344,False,28.93545839563402,1.302095627803531,37.51848564444141,33.5083033680327,6.9582298709085535,223.2205463380577,1553.21987333,0.803132027527973,0.9741201206775355,0.40109800305124393,0.999888864003718,0.10500853796651878,0.9640324168950761,0.7450672170443908
D08,20190712_113254,"(-4,0)",MZMCTE_LULAB_450_500,DCM_LMZC,-4,0,C,1550.0,14.349130150000065,1550.15858542,-228.8825617141112,-14.140179279787933,-14.140179279787933,2078.31,3970.5979999999995,False,31.346053719730374,1.410572417387867,37.86182301434579,37.448954357535015,6.67463152353298,231.30939967795985,1543.90501078,0.6726532779813166,0.9970218959030351,0.0,1.0,0.2286476246285055,0.987877406091939,0.6675946401977089
D08,20190712_113254,"(-3,2)",MZMCTE_LULAB_450_500,DCM_LMZC,-3,2,C,1550.0,14.264201689999936,1542.99736095,-254.5863028570312,-11.952224411682552,-11.952224411682552,1951.4189999999999,3960.458,False,28.014471968687033,1.2606512385909165,10.106359217548224,7.990367882652237,7.0157772031934655,220.9954951354867,1550.45515678,0.8529824342454642,0.0,0.009376350225566939,1.0,0.07099836533735839,0.9697002175608918,0.4819911261481422
D23,20190603_204847,"(-1,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-1,O,1310.0,9.936299999999846,1314.6543,-124.05142857138041,-7.23802125453949,-7.23802125453949,213936.40000000002,422613.9,False,40.049115574200755,1.5218663918196287,29.602038860321045,31.13712739944458,4.805239249905753,272.58563661022504,1309.8392,0.2015810010846617,0.44606608191954056,0.887299618113436,0.26629856957087583,0.8595598220316003,0.04340195473061064,0.4284785417217706
